,Player,Stats,Output
0,txyI4RCWSqeGo61dMt3l2w,USG%: 24.2; MPG: 31.8; PPG: 13.2; TS%: 53.5; TS% percentile: 54.0; 3PR: 43.2; 2PR: 56.8; 3P%: 35.3; 3P% percentile: 72.0; DRB%: 10.4; DRB% percentile: 35.0; ORB%: 1.0; ORB% percentile: 15.0; AST%: 19.7; AST% percentile: 86.0; TO%: 19.7; TO% percentile: 22.0; STL/G: 1.0; BLK/G: 0.1; STL% percentile: 57.0; BLK% percentile: 36.0; STL%: 1.9; FT%: 77.6; FTRate: 34.7; FTRate percentile: 61.0,"""<ul>\n \n <li>\n High usage guard (24.2% USG) who plays extremely strong minutes (31.9 MPG) scoring 13.2 PPG on average 53.5% TS% (54th percentile)\n </li>\n \n <li>\n More likely to shoot from the inside (56.8% 2P-R) where he shoots an average 45.7% 2P%\n </li>\n \n <li>\n Gets most of his shots as a ball-handler in the pick & roll, where he produces 0.705 PPP\n </li>\n \n <li>\n Also frequently gets shots in isolation, where he produces 1.086 PPP\n </li>\n \n <li>\n Average rebounding guard, performing better on the defensive glass with a DRB% 10.4% (35th percentile) compared to ORB% 1.0% (15th percentile)\n </li>\n \n <li>\n Strong facilitator who assists on 19.7% of the team's field goals while on the court (86th percentile) and turns the ball over on 19.7% of their possessions (22nd percentile)\n </li>\n \n <li>\n Average defensively, averaging 1.0 STL/G\n </li>\n \n <li>\n Adequate free throw shooter at 77.6% who gets to the line frequently at 34.7 FT-R (61st percentile)\n </li>\n \n</ul>"""
1,NviVm8oiR3WvgDpROHIseA,USG%: 10.0; MPG: 8.3; PPG: 1.2; TS%: 42.4; TS% percentile: 17.0; 3PR: 24.0; 2PR: 76.0; 3P%: 0.0; 3P% percentile: 0.0; DRB%: 7.6; DRB% percentile: 16.0; ORB%: 7.5; ORB% percentile: 72.0; AST%: 5.7; AST% percentile: 28.0; TO%: 12.4; TO% percentile: 63.0; STL/G: 0.1; BLK/G: 0.1; STL% percentile: 17.0; BLK% percentile: 57.0; STL%: 0.7; FT%: 85.7; FTRate: 28.0; FTRate percentile: 46.0,"""<ul>\n <li>Extremely low usage forward (10.0%) who plays below average minutes (8.3 MPG) scoring 1.2 PPG on extremely low 42.4% TS% (17th percentile)</li>\n\n <li>More likely to shoot from the inside (76.0% 2P-R) where he shoots a below average 47.4% 2P%</li>\n\n <li>Gets most of his shots cutting off the ball, where he produces 1.0 PPP</li>\n\n <li>Also frequently gets shots as a spot-up shooter, where he produces 0.4 PPP</li>\n\n <li>High rebounding forward, performing better on the offensive glass with a ORB% 7.5% (72nd percentile) compared to DRB% 7.6% (16th percentile)</li>\n\n <li>Average defensively, averaging 0.1 STL/G</li>\n\n <li>Average defender who blocks 1.4% of opponent shots (57th percentile)</li>\n\n <li>Strong free throw shooter at 85.7% who gets to the line frequently at 28.0 FT-R (46th percentile)</li>\n</ul>"""
2,VdYYdsVFQImrFiPe7Ikf0Q,USG%: 14.8; MPG: 15.0; PPG: 3.9; TS%: 51.6; TS% percentile: 45.0; 3PR: 8.6; 2PR: 91.4; 3P%: 11.1; 3P% percentile: 25.0; DRB%: 19.5; DRB% percentile: 87.0; ORB%: 8.3; ORB% percentile: 77.0; AST%: 2.8; AST% percentile: 14.0; TO%: 15.4; TO% percentile: 42.0; STL/G: 0.4; BLK/G: 0.2; STL% percentile: 40.0; BLK% percentile: 53.0; STL%: 1.4; FT%: 64.7; FTRate: 32.4; FTRate percentile: 56.0,"""<ul>\n <li>Low usage forward (14.8% USG) who plays average minutes (15.0 MPG) scoring 3.9 PPG on below average 51.6% TS% (45th percentile).</li>\n \n <li>More likely to shoot from the inside (91.4% 2P-R) where he shoots a balanced 52.1% 2P%.</li>\n \n <li>Gets most of his shots cutting off the ball, where he produces 1.042 PPP.</li>\n \n <li>Also frequently gets shots from put backs on the offensive glass, where he produces 1.045 PPP.</li>\n \n <li>High rebounding forward, performing better on the defensive glass with a DRB% 19.5% (87th percentile) compared to ORB% 8.3% (77th percentile).</li>\n \n <li>Weak facilitator who assists on 2.8% of the team's field goals while on the court (14th percentile) and turns the ball over on 15.4% of their possessions (42nd percentile).</li>\n \n <li>Average defensively, averaging 0.4 STL/G.</li>\n \n <li>Weak free throw shooter at 64.7% who gets to the line frequently at 32.4% FT-R (56th percentile).</li>\n</ul>"""
3,tqLfeTKnTOysxh8Oqv3nZQ,USG%: 19.9; MPG: 17.6; PPG: 5.3; TS%: 42.7; TS% percentile: 17.0; 3PR: 64.6; 2PR: 35.4; 3P%: 28.7; 3P% percentile: 47.0; DRB%: 7.8; DRB% percentile: 17.0; ORB%: 1.0; ORB% percentile: 16.0; AST%: 6.9; AST% percentile: 36.0; TO%: 11.6; TO% percentile: 68.0; STL/G: 0.4; BLK/G: 0.1; STL% percentile: 32.0; BLK% percentile: 32.0; STL%: 1.2; FT%: 71.4; FTRate: 11.1; FTRate percentile: 16.0,"""<ul>\n <li>Average usage guard/forward (19.9%) who plays below average minutes (17.6 MPG) scoring 5.3 PPG on low 42.7% TS% (17th percentile)</li>\n \n <li>More likely to shoot from the outside (35.4% 2P-R) where he shoots a poor 37.3% 2P%</li>\n \n <li>Gets most of his shots as a spot-up shooter, where he produces 0.972 PPP</li>\n \n <li>Also frequently gets shots in transition, where he produces 0.974 PPP</li>\n \n <li>Low rebounding guard/forward, performing better on the defensive glass with a DRB% 7.8% (17th percentile) compared to ORB% 1.0% (16th percentile)</li>\n \n <li>Weak facilitator who assists on 6.9% of the team's field goals while on the court (36th percentile) and turns the ball over on 11.6% of their possessions (68th percentile)</li>\n \n <li>Average defensively, averaging 0.4 STL/G</li>\n \n <li>Weak free throw shooter at 71.4% who gets to the line rarely at 11.1% FT-R (16th percentile)</li>\n</ul>"""
4,gwwLCApJTP-vMlxgfdZhsQ,USG%: 19.9; MPG: 30.8; PPG: 12.9; TS%: 60.6; TS% percentile: 85.0; 3PR: 7.6; 2PR: 92.4; 3P%: 42.9; 3P% percentile: 91.0; DRB%: 22.4; DRB% percentile: 93.0; ORB%: 9.7; ORB% percentile: 83.0; AST%: 7.2; AST% percentile: 38.0; TO%: 13.7; TO% percentile: 53.0; STL/G: 0.6; BLK/G: 0.8; STL% percentile: 28.0; BLK% percentile: 79.0; STL%: 1.1; FT%: 67.2; FTRate: 48.4; FTRate percentile: 80.0,"""<ul>\n <li>Average usage forward (19.9%) who plays high minutes (30.8 MPG) scoring 12.9 PPG on extremely strong 60.6% TS% (85th percentile)</li>\n \n <li>More likely to shoot from the inside (92.4% 2P-R) where he shoots a strong 57.8% 2P%</li>\n \n <li>Gets most of his shots cutting off the ball , where he produces 1.143 PPP</li>\n \n <li>Also frequently gets shots as a the roll man in the pick & roll , where he produces 1.02 PPP</li>\n \n <li>Extremely strong rebounding forward, performing better on the defensive glass with a DRB% 22.4% (93rd percentile) compared to ORB% (83rd percentile)</li>\n \n <li>Weak facilitator who assists on 7.2% of the team's field goals while on the court (38th percentile) and turns the ball over on 13.7% of their possessions (53rd percentile)</li>\n \n <li>Average defensively, averaging 0.8 BLK/G</li>\n \n <li>Strong free throw shooter at 67.2% who gets to the line frequently at 48.4% FT-R (80th percentile)</li>\n</ul>"""
5,rNBri8T_QSegDJT1k-jnCg,USG%: 24.0; MPG: 23.1; PPG: 8.7; TS%: 49.2; TS% percentile: 33.0; 3PR: 29.0; 2PR: 71.0; 3P%: 19.4; 3P% percentile: 31.0; DRB%: 6.5; DRB% percentile: 11.0; ORB%: 2.5; ORB% percentile: 34.0; AST%: 30.6; AST% percentile: 97.0; TO%: 20.9; TO% percentile: 18.0; STL/G: 1.4; BLK/G: 0.3; STL% percentile: 91.0; BLK% percentile: 56.0; STL%: 3.3; FT%: 82.4; FTRate: 50.5; FTRate percentile: 82.0,"""<ul>\n <li>High usage guard (24.0% USG) who plays average minutes (23.1 MPG) scoring 8.7 PPG on below average 49.2% TS% (33rd percentile)</li>\n \n <li>More likely to shoot from the inside (71.0% 2P-R) where he shoots a below average 44.7% 2P%</li>\n \n <li>Gets most of his shots as a ball-handler in the pick & roll, where he produces 0.656 PPP</li>\n \n <li>Also frequently gets shots as a spot-up shooter, where he produces 0.948 PPP</li>\n \n <li>Below average rebounding guard, performing better on the defensive glass with a DRB% 6.5% (11th percentile) compared to ORB% 2.5% (34th percentile)</li>\n \n <li>Elite facilitator who assists on 30.6% of the team's field goals while on the court (97th percentile) and turns the ball over on 20.9% of their possessions (18th percentile)</li>\n \n <li>Strong defensively, averaging 1.4 STL/G</li>\n \n <li>Elite defender who records steals on 3.3% of opponent possessions while on the court (91st percentile)</li>\n \n <li>Strong free throw shooter at 82.4% who gets to the line frequently at 50.5% FT-R (82nd percentile)</li>\n</ul>"""
6,DYH11btORuGYZQHoUneCRw,USG%: 20.3; MPG: 33.3; PPG: 12.6; TS%: 53.4; TS% percentile: 54.0; 3PR: 35.0; 2PR: 65.0; 3P%: 34.0; 3P% percentile: 66.0; DRB%: 14.2; DRB% percentile: 62.0; ORB%: 3.4; ORB% percentile: 44.0; AST%: 8.7; AST% percentile: 47.0; TO%: 13.2; TO% percentile: 56.0; STL/G: 0.6; BLK/G: 0.2; STL% percentile: 25.0; BLK% percentile: 40.0; STL%: 1.0; FT%: 81.8; FTRate: 50.8; FTRate percentile: 83.0,"""<ul>\n <li>Average usage guard/forward (20.3%) who plays extremely strong minutes (33.3 MPG), scoring 12.6 PPG on average 53.4% TS% (54th percentile)</li>\n \n <li>More likely to shoot from the inside (65.0% 2P-R) where he shoots a below average 42.6% 2P%</li>\n \n <li>Gets most of his shots cutting off the ball, where he produces 1.12 PPP</li>\n \n <li>Also frequently gets shots in off handoffs, where he produces 0.737 PPP</li>\n \n <li>High rebounding guard/forward, performing better on the defensive glass with a DRB% 14.2% (62nd percentile) compared to ORB% 3.4% (44th percentile)</li>\n \n <li>Strong free throw shooter at 81.8% who gets to the line frequently at 50.8% FT-R (83rd percentile)</li>\n</ul>"""
7,deAb7ujbST2MuMK-osjPuA,USG%: 18.5; MPG: 25.6; PPG: 10.1; TS%: 56.6; TS% percentile: 69.0; 3PR: 29.7; 2PR: 70.3; 3P%: 36.8; 3P% percentile: 77.0; DRB%: 13.7; DRB% percentile: 59.0; ORB%: 6.3; ORB% percentile: 65.0; AST%: 1.1; AST% percentile: 11.0; TO%: 10.1; TO% percentile: 76.0; STL/G: 0.2; BLK/G: 0.5; STL% percentile: 15.0; BLK% percentile: 68.0; STL%: 0.6; FT%: 50.0; FTRate: 25.0; FTRate percentile: 39.0,"""<ul>\n <li>Average usage forward (18.5%) who plays average minutes (25.6 MPG) scoring 10.1 PPG on above average 56.6% TS% (69th percentile)</li>\n \n <li>More likely to shoot from the inside (70.3% 2P-R) where he shoots a strong 57.8% 2P%</li>\n \n <li>Gets most of his shots cutting off the ball, where he produces 1.353 PPP</li>\n \n <li>Also frequently gets shots from put backs on the offensive glass, where he produces 1.6 PPP</li>\n \n <li>Above average rebounding forward, performing better on the offensive glass with a ORB% 6.3% (65th percentile) compared to DRB% 13.7% (59th percentile)</li>\n \n <li>Weak facilitator who assists on 1.1% of the team's field goals while on the court (14th percentile) and turns the ball over on 10.1% of his possessions (76th percentile)</li>\n \n <li>Average defensively, averaging 0.2 STL/G</li>\n \n <li>Average defender who blocks 2.0% of opponent shots (68th percentile)</li>\n \n <li>Weak free throw shooter at 50.0% who gets to the line frequently at 25.0% FT-R (39th percentile)</li>\n</ul>"""
8,cFH2TTEuRWKDUR0jWcV4dQ,USG%: 20.8; MPG: 31.3; PPG: 12.3; TS%: 53.9; TS% percentile: 56.0; 3PR: 27.2; 2PR: 72.8; 3P%: 29.9; 3P% percentile: 50.0; DRB%: 17.2; DRB% percentile: 78.0; ORB%: 4.9; ORB% percentile: 56.0; AST%: 8.9; AST% percentile: 49.0; TO%: 13.8; TO% percentile: 53.0; STL/G: 0.8; BLK/G: 0.4; STL% percentile: 43.0; BLK% percentile: 60.0; STL%: 1.5; FT%: 75.2; FTRate: 35.7; FTRate percentile: 62.0,"""<ul>\n <li>Above average usage guard (20.8%) who plays high minutes (31.3 MPG) scoring 12.3 PPG on average 53.9% TS% (56th percentile)</li>\n\n <li>More likely to shoot from the inside (72.8% 2P-R) where he shoots a solid 51.5% 2P%</li>\n\n <li>Gets most of his shots cutting off the ball, where he produces 1.556 PPP</li>\n\n <li>Also frequently gets shots in off handoffs, where he produces 0.85 PPP</li>\n\n <li>High rebounding guard, performing better on the defensive glass with a DRB% 17.2% (78th percentile) compared to ORB% 4.9% (56th percentile), averaging 4.7 DRB/G</li>\n\n <li>Average facilitator who assists on 8.9% of the team's field goals while on the court (49th percentile) and turns the ball over on 13.8% of their possessions (53rd percentile)</li>\n\n <li>Average defensively, averaging 0.8 STL/G</li>\n\n <li>Average free throw shooter at 75.2% who gets to the line relatively frequently at 35.7% FT-R (62nd percentile)</li>\n</ul>"""
9,ftvCY63IQdGyBUclynvTKQ,USG%: 5.9; MPG: 7.6; PPG: 0.7; TS%: 40.9; TS% percentile: 15.0; 3PR: 60.0; 2PR: 40.0; 3P%: 33.3; 3P% percentile: 60.0; DRB%: 14.2; DRB% percentile: 62.0; ORB%: 6.7; ORB% percentile: 67.0; AST%: 3.9; AST% percentile: 18.0; TO%: 9.8; TO% percentile: 78.0; STL/G: 0.2; BLK/G: 0.0; STL% percentile: 49.0; BLK% percentile: 0.0; STL%: 1.6; FT%: 28.6; FTRate: 46.7; FTRate percentile: 78.0,"""<ul>\n <li>Extremely low usage guard/forward (5.9%) who plays extremely low minutes (7.6 MPG) scoring 0.7 PPG on low 40.9% TS% (15th percentile)</li>\n \n <li>More likely to shoot from the outside (60.0% 3P-R) where he shoots a low 33.3% 3P%</li>\n \n <li>Gets most of his shots cutting off the ball, where he produces 0.6 PPP</li>\n \n <li>Also frequently gets shots as a spot-up shooter, where he produces 1.286 PPP</li>\n \n <li>Above average rebounding guard/forward, performing better on the defensive glass with a DRB% 14.2% (62nd percentile) compared to ORB% (6.7% 67th percentile)</li>\n \n <li>Low facilitator who assists on 3.9% of the team's field goals while on the court (18th percentile) and turns the ball over on 9.8% of their possessions (78th percentile)</li>\n \n <li>Average defensively, averaging 0.2 STL/G</li>\n \n <li>Weak free throw shooter at 28.6% who gets to the line frequently at 46.7% FT-R (78th percentile)</li>\n</ul>"""
10,8OEu4UsBQqunE9lYP_cJ3Q,USG%: 15.5; MPG: 14.4; PPG: 5.0; TS%: 58.9; TS% percentile: 93.0; 3PR: 32.1; 2PR: 67.9; 3P%: 33.3; 3P% percentile: 75.0; DRB%: 8.8; DRB% percentile: 28.0; ORB%: 9.0; ORB% percentile: 82.0; AST%: 8.1; AST% percentile: 33.0; TO%: 13.7; TO% percentile: 82.0; STL/G: 0.9; BLK/G: 0.2; STL% percentile: 85.0; BLK% percentile: 64.0; STL%: 3.4; FT%: 83.7; FTRate: 38.4; FTRate percentile: 73.0,"""<ul>\n <li>Low usage guard/forward (15.5%) who plays low minutes (14.4 MPG) scoring 5.0 PPG on extremely strong 58.9% TS% (93rd percentile)</li>\n \n <li>More likely to shoot from the inside (67.9% 2P-R) where she shoots a high 55.3% 2P%</li>\n \n <li>Above average rebounding guard/forward, performing better on the offensive glass with a 9.0% ORB% (82nd percentile) compared to 8.8% DRB% (28th percentile)</li>\n \n <li>Strong facilitator who assists on 8.1% of the team's field goals while on the court (33rd percentile) and turns the ball over on 13.7% of her possessions (82nd percentile)</li>\n \n <li>Strong defensively, averaging 0.9 STL/G</li>\n \n <li>Elite defender who records steals on 3.4% of opponent possessions while on the court (85th percentile)</li>\n \n <li>Strong free throw shooter at 83.7% who gets to the line frequently at 38.4% FT-R (73rd percentile)</li>\n</ul>"""
11,wzIs0YVLQeezkDl4R5SVPA,USG%: 14.5; MPG: 6.0; PPG: 1.1; TS%: 39.6; TS% percentile: 26.0; 3PR: 0.0; 2PR: 100.0; 3P% percentile: 0.0; DRB%: 11.0; DRB% percentile: 46.0; ORB%: 8.5; ORB% percentile: 79.0; AST%: 7.3; AST% percentile: 28.0; TO%: 25.9; TO% percentile: 23.0; STL/G: 0.1; BLK/G: 0.1; STL% percentile: 11.0; BLK% percentile: 77.0; STL%: 0.6; FT%: 50.0; FTRate: 9.8; FTRate percentile: 16.0,"""<ul>\n <li>Extremely low usage forward (14.5% USG) who plays extremely low minutes (6.0 MPG) scoring 1.1 PPG on low 39.6% TS% (26th percentile)</li>\n \n <li>More likely to shoot from the inside (100.0% 2P-R) where she shoots a weak 39.0% 2P%</li>\n \n <li>Average rebounding forward, performing better on the offensive glass with an ORB% 8.5% (79th percentile) compared to DRB% 11.0% (46th percentile)</li>\n \n <li>Weak facilitator who assists on 7.3% of the team's field goals while on the court (28th percentile) and turns the ball over on 25.9% of their possessions (23rd percentile)</li>\n \n <li>Weak defender who blocks 2.0% of opponent shots (77th percentile)</li>\n</ul>"""
12,Qu5ME9iNRkGBtV3vjbzUiw,USG%: 10.3; MPG: 25.5; PPG: 3.5; TS%: 44.1; TS% percentile: 41.0; 3PR: 32.4; 2PR: 67.6; 3P%: 37.1; 3P% percentile: 88.0; DRB%: 13.2; DRB% percentile: 61.0; ORB%: 4.9; ORB% percentile: 54.0; AST%: 17.0; AST% percentile: 80.0; TO%: 33.1; TO% percentile: 10.0; STL/G: 1.3; BLK/G: 0.2; STL% percentile: 71.0; BLK% percentile: 45.0; STL%: 2.6; FT%: 64.3; FTRate: 25.9; FTRate percentile: 49.0,"""<ul>\n <li>Extremely low usage guard (10.3% USG) who plays average minutes (25.5 MPG) scoring 3.5 PPG on low 44.1% TS% (41st percentile)</li>\n \n <li>More likely to shoot from the inside (67.6% 2P-R) where she shoots a poor 34.2% 2P%</li>\n \n <li>Average rebounding guard, performing better on the defensive glass with a DRB% 13.2% (61st percentile) compared to ORB% 4.9% (54th percentile)</li>\n \n <li>Average facilitator who assists on 17.0% of the team's field goals while on the court (80th percentile) and turns the ball over on 33.1% of their possessions (10th percentile)</li>\n \n <li>Strong defensively, averaging 1.3 STL/G</li>\n \n <li>Strong defender who records steals on 2.6% of opponent possessions while on the court (71st percentile)</li>\n \n <li>Weak free throw shooter at 64.3% who gets to the line frequently at 25.9% FT-R (49th percentile)</li>\n</ul>"""
13,usGMbvgUS5etbRXvDkQ_zg,USG%: 33.1; MPG: 29.1; PPG: 17.2; TS%: 49.6; TS% percentile: 65.0; 3PR: 29.6; 2PR: 70.4; 3P%: 32.6; 3P% percentile: 74.0; DRB%: 12.2; DRB% percentile: 55.0; ORB%: 1.8; ORB% percentile: 19.0; AST%: 22.7; AST% percentile: 92.0; TO%: 19.3; TO% percentile: 52.0; STL/G: 1.6; BLK/G: 0.1; STL% percentile: 77.0; BLK% percentile: 38.0; STL%: 2.9; FT%: 83.1; FTRate: 31.8; FTRate percentile: 61.0,"""<ul>\n <li>Extremely strong usage guard (33.1%) who plays above average minutes (29.1 mpg) scoring 17.2 PPG on average 49.6% TS% (65th percentile)</li>\n \n <li>More likely to shoot from the inside (70.4% 2P-R) where she shoots a below average 41.8% 2P</li>\n \n <li>Average rebounding guard, performing better on the defensive glass with a DRB% 12.2% (55th percentile) compared to ORB% (1.8%, 19th percentile)</li>\n \n <li>Strong facilitator who assists on 22.7% of the team's field goals while on the court (92nd percentile) and turns the ball over on 19.3% of their possessions (52nd percentile)</li>\n \n <li>Above average defensively, averaging 1.6 STL/G</li>\n \n <li>Above average defender who records steals on 2.9% of opponent possessions while on the court (77th percentile)</li>\n \n <li>Strong free throw shooter at 83.1% who gets to the line frequently at 31.8% FT-R (61st percentile)</li>\n</ul>"""
14,iehWE8b1SFuxlmFeRDv4hQ,USG%: 18.0; MPG: 28.8; PPG: 10.7; TS%: 56.0; TS% percentile: 89.0; 3PR: 1.7; 2PR: 98.3; 3P%: 0.0; 3P% percentile: 0.0; DRB%: 16.9; DRB% percentile: 79.0; ORB%: 9.9; ORB% percentile: 86.0; AST%: 6.1; AST% percentile: 22.0; TO%: 16.3; TO% percentile: 69.0; STL/G: 0.9; BLK/G: 2.7; STL% percentile: 38.0; BLK% percentile: 98.0; STL%: 1.6; FT%: 56.0; FTRate: 35.3; FTRate percentile: 68.0,"""<ul>\n <li>Average usage forward (18.0%) who plays above average minutes (28.8 MPG) scoring 10.7 PPG on high 56.0% TS% (89th percentile)</li>\n \n <li>More likely to shoot from the inside (98.3% 2P-R) where she shoots a strong 56.4% 2P%</li>\n \n <li>High rebounding forward, performing better on the offensive glass with a ORB% 9.9% (86th percentile) compared to DRB% 16.9% (79th percentile) with 7.4 DRB/G</li>\n \n <li>Average facilitator who assists on 6.1% of the team's field goals while on the court (22nd percentile) and turns the ball over on 16.3% of their possessions (69th percentile)</li>\n \n <li>Above average defensively, averaging 0.9 STL/G</li>\n \n <li>Elite defender who blocks 8.6% of opponent shots (98th percentile)</li>\n \n <li>Low free throw shooter at 56.0% who gets to the line frequently at 35.3% FT-R (68th percentile)</li>\n</ul>"""
15,bzoxV0KPSoWtMOXoLcn2EQ,USG%: 12.0; MPG: 9.3; PPG: 0.2; TS%: 14.7; TS% percentile: 5.0; 3PR: 58.8; 2PR: 41.2; 3P%: 10.0; 3P% percentile: 28.0; DRB%: 8.0; DRB% percentile: 23.0; ORB%: 2.9; ORB% percentile: 33.0; AST%: 17.9; AST% percentile: 83.0; TO%: 71.7; TO% percentile: 0.0; STL/G: 0.3; BLK/G: 0.0; STL% percentile: 46.0; BLK% percentile: 0.0; STL%: 1.9; FTRate: 0.0; FTRate percentile: 0.0,"""<ul>\n <li>Extremely low usage guard (12.0%) who plays below average minutes (9.3 MPG) scoring 0.2 PPG on extremely low 14.7% TS% (5th percentile)</li>\n <li>More likely to shoot from the outside (58.8% 3P-R) where she shoots a below average 10.0% 3P%</li>\n <li>Below average rebounding guard, performing better on the defensive glass with a DRB% 8.0% (23rd percentile) compared to ORB% 2.9% (33rd percentile)</li>\n <li>Average facilitator who assists on 17.9% of the team's field goals while on the court (83rd percentile) and turns the ball over on 71.7% of their possessions (0th percentile)</li>\n <li>Average defensively, averaging 0.3 STL/G</li>\n</ul>"""
